Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,SOL-USD,XRP-USD,USDC-USD,DOGE-USD,ADA-USD,AVAX-USD,SHIB-USD,DOT-USD,BCH-USD,LINK-USD,TRX-USD,MATIC-USD,ICP-USD,UNI7083-USD,NEAR-USD,LTC-USD,LEO-USD,DAI-USD,STX4847-USD,FIL-USD,ATOM-USD,USD
2023-04-16,30315.35546875,2120.005859375,1.0005359649658203,348.2209167480469,25.361927032470703,0.5213919878005981,0.9997050166130066,0.0904719978570938,0.4517549872398376,20.20197868347168,1.2000000424450263e-05,6.833064079284668,134.45375061035156,8.136897087097168,0.066551998257637,1.1838619709014893,6.07863187789917,6.319557189941406,2.3261280059814453,100.26744842529295,3.4174959659576416,0.9994990229606628,0.861253023147583,6.34276819229126,12.697114944458008,1
2023-04-17,29445.044921875,2076.242919921875,1.0005300045013428,339.9941101074219,24.55884552001953,0.5111269950866699,0.9998649954795836,0.091448999941349,0.4341669976711273,20.514562606811523,1.1000000085914508e-05,6.695542812347412,131.61575317382812,8.164322853088379,0.0657839998602867,1.1529539823532104,6.246818065643311,6.128189086914063,2.287198066711426,98.67469787597656,3.397697925567627,0.9992830157279968,0.8400020003318787,6.118175029754639,12.341851234436035,1
2023-04-18,30397.552734375,2104.537353515625,1.0004080533981323,343.1934509277344,24.852689743041992,0.532263994216919,1.0000309944152832,0.0939889997243881,0.4437519907951355,21.22784805297852,1.2000000424450263e-05,6.922027111053467,133.6016845703125,8.576398849487305,0.0667620003223419,1.171897053718567,6.810704231262207,6.331723213195801,2.3463950157165527,101.8514175415039,3.417860984802246,1.0002809762954712,0.8626289963722229,6.263586044311523,12.554780006408691,1
2023-04-19,28822.6796875,1936.4034423828125,1.0005589723587036,322.70751953125,22.71283531188965,0.4915989935398102,1.0000510215759275,0.0878679975867271,0.4157930016517639,18.99392509460449,1.1000000085914508e-05,6.319921016693115,125.0929183959961,7.770359992980957,0.0658489987254142,1.0855530500411987,6.119871139526367,5.845641136169434,2.1515231132507324,90.44068145751952,3.3987629413604736,0.9999319911003112,0.7636619806289673,5.7050299644470215,11.709096908569336,1
2023-04-20,28245.98828125,1943.09765625,1.0002210140228271,317.8899230957031,22.181440353393555,0.4748579859733581,1.000164031982422,0.0839369967579841,0.4007309973239898,18.332067489624023,1.1000000085914508e-05,6.11122989654541,123.1105728149414,7.51875114440918,0.0654129981994628,1.0471500158309937,5.879062175750732,5.783297061920166,2.047060966491699,90.23965454101562,3.458221912384033,0.998947024345398,0.7361099720001221,5.561659812927246,11.392242431640623,1
2023-04-21,27276.91015625,1849.9998779296875,1.000141978263855,321.67498779296875,21.278135299682617,0.449396014213562,1.00033700466156,0.0784789994359016,0.3829390108585357,16.953628540039062,9.999999747378752e-06,5.851493835449219,119.75077056884766,7.117650032043457,0.0650010034441948,1.0126760005950928,5.5366530418396,5.4705810546875,1.9266170263290403,85.51734161376953,3.4951601028442383,0.9996230006217957,0.6894000172615051,5.261168003082275,10.803689002990724,1
2023-04-22,27817.5,1874.2286376953125,1.0001850128173828,331.9950866699219,21.81628799438477,0.4726609885692596,1.0001070499420166,0.080375000834465,0.3961530029773712,17.23383903503418,9.999999747378752e-06,5.953291893005371,122.23889923095705,7.179794788360596,0.0660749971866607,1.0253440141677856,5.615320205688477,5.506019115447998,1.9470939636230469,87.09852600097656,3.5214738845825195,0.999761998653412,0.7330120205879211,5.32620096206665,11.041813850402832,1
2023-04-23,27591.384765625,1862.06201171875,1.0000230073928833,330.61883544921875,21.480138778686523,0.4650160074234009,0.9998940229415894,0.0788199976086616,0.3889999985694885,16.86546516418457,9.999999747378752e-06,5.917685031890869,119.92919158935548,7.079930782318115,0.0666769966483116,1.0036760568618774,5.423529148101807,5.42910099029541,1.9139859676361084,86.89732360839844,3.512465000152588,0.999978005886078,0.7104920148849487,5.272049903869629,10.82701015472412,1
2023-04-24,27525.33984375,1842.7574462890625,1.000120997428894,331.2458801269531,21.391069412231445,0.4612730145454407,1.000041961669922,0.0787839964032173,0.3839159905910492,16.939165115356445,9.999999747378752e-06,5.891438007354736,119.3284683227539,7.076444149017334,0.0661400035023689,0.9899200201034546,5.377598762512207,5.362220764160156,1.88675594329834,88.40734100341797,3.5229458808898926,0.999867022037506,0.7342590093612671,5.2544660568237305,10.88591766357422,1
2023-04-25,28307.59765625,1866.753662109375,1.0001590251922607,338.3255615234375,21.92725372314453,0.4699949920177459,1.0,0.0798470005393028,0.3949190080165863,17.64320945739746,9.999999747378752e-06,6.001255989074707,120.19910430908205,7.27154016494751,0.0658629983663559,1.0058540105819702,5.486451148986816,5.454832077026367,1.9642239809036253,91.10834503173828,3.5441060066223145,0.9998049736022948,0.7468129992485046,5.3503899574279785,11.053879737854004,1
